### TABLE 1: GSM (REAL WORLD)

| Metric              | Baseline | LGP |
| ------------------- | -------- | --- |
| Accuracy            | 80.0% | 80.0% |
| Drift Trigger Rate  | —        | 30.0% |
| Correction Coverage | —        | 30.0% |
| Correction Success  | —        | 33.3% |
| False Positive Rate | —        | 25.0% |

---

### TABLE 2: SYNTHETIC (CONTROLLED)

| Metric               | Baseline | LGP |
| -------------------- | -------- | --- |
| Accuracy             | 100.0% | 80.0% |
| Drift Detection Rate | —        | 20.0% |
| Correction Coverage  | —        | 20.0% |
| Correction Success   | —        | 0.0% |
| False Positive Rate  | —        | 20.0% |
